id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
1914,Sawan Park,F,8,66,Sawan Park,"Rs. 56,640 Per Square Meter",56640,Rohini
1915,SBM Colony,E,10,100,Karam Pura,"Rs. 70,070 Per Square Meter",70070,West
1916,Seelampur,G,1,236,Raghubar Pura,Rs. 46200 Per Square Meter,46200,Shahadra South
1917,Seelampur Village,G,1,236,Raghubar Pura,Rs. 46200 Per Square Meter,46200,Shahadra South
1918,Seemapuri,F,2,240,Dilshad Colony,"Rs. 56,640 Per Square Meter",56640,Shahadra North
1919,Sewak Park Nangloi,G,7,34,Nithari,Rs. 46200 Per Square Meter,46200,Narela
1920,"Sewak Park ,Uttam Nagar",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1921,Sewa Kutir,F,6,12,GTB Nagar,"Rs. 56,640 Per Square Meter",56640,Civil Line
1922,Sewa Nagar,D,4,157,Kasturba Nagar,"Rs. 1,27,680 Per Square Meter",127680,Central
1923,Shadipur Market(Ranjit nagar Commercial Complex),E,12,96,New Ranjit Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
1924,Shadipur(Shadi Khampur),G,12,96,New Ranjit Nagar,Rs. 46200 Per Square Meter,46200,Karol Bagh
1925,Shahabad Muhammadpur,G,9,143,Kapashera,Rs. 46200 Per Square Meter,46200,Nazafgarh
1926,Shahadra,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
1927,Shahbad Dairy,H,8,26,Sahibabad Daulat Pur,"Rs. 23,280 Per Square Meter",23280,Rohini
1928,Shahbad Dairy,G,8,26,Sahibabad Daulat Pur,Rs. 46200 Per Square Meter,46200,Rohini
1929,Shahbad Daulat Pur,H,8,26,Sahibabad Daulat Pur,"Rs. 23,280 Per Square Meter",23280,Rohini
1930,Shaheed Bhagat Singh Colony (Seelam Pur),G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
1931,"Shaheed Bhagat Singh Nagar, Karala",G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
1932,Shaheed Camp,F,4,185,Tughlakabad Extn.,"Rs. 56,640 Per Square Meter",56640,Central
1933,Shah Ganj,E,5,82,Kucha Pandit,"Rs. 70,070 Per Square Meter",70070,City
1934,"Shahibabad Estate, Daulatpur",G,9,133,Chhawala,Rs. 46200 Per Square Meter,46200,Nazafgarh
1935,Shahi Idgah Colony,E,11,88,Qasabpura,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
1936,Shahi Masjid Colony,F,1,230,Geeta Colony,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1937,Shahjadabag,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1938,"Shah Nagar, Mangla Puri",G,9,145,Palam,Rs. 46200 Per Square Meter,46200,Nazafgarh
1939,Shahpura,F,10,115,Major Bhupinde Singh Nagar,"Rs. 56,640 Per Square Meter",56640,West
1940,Shah Pur Garhi,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
1941,Shahpur Jat,E,3,191,Shahpur Jat,"Rs. 70,070 Per Square Meter",70070,South
1942,Shahur Pur,H,9,141,Bijwasan,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
1943,Shahzadabagh Extension,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
1944,Shakarpur,F,1,224,Pandav Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
1945,Shakarpur Khas,G,1,224,Pandav Nagar,Rs. 46200 Per Square Meter,46200,Shahadra South
1946,Shakti Nagar,D,11,69,Kamla Nagar,"Rs. 1,27,680 Per Square Meter",127680,Sadar Paharganj
1947,Shakti Nagar Extn,D,8,66,Sawan Park,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1948,Shakti Vihar,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1949,Shakti Vihar Molar Band Extn.,G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
1950,Shakurbasti,E,8,59,Rani Bagh,"Rs. 70,070 Per Square Meter",70070,Rohini
1951,Shakurpur Colony,E,8,64,Shakur Pur,"Rs. 70,070 Per Square Meter",70070,Rohini
1952,Shakurpur Village,G,8,62,Rampura,Rs. 46200 Per Square Meter,46200,Rohini
1953,Shalimar Bagh,D,8,56,Shalimar Bagh South,"Rs. 1,27,680 Per Square Meter",127680,Rohini
1954,Shalimar Extn,C,8,55,Shalimar Bagh North,"Rs. 1,59,840 Per Square Meter",159840,Rohini
