id,colony,category,zone_no,ward_no,ward_name,rates,rates_no,zone_name
265,Bhavishyanidhi Enclave,B,3,161,Malviya Nagar,"Rs. 2,45,520 Per Square Meter",245520,South
266,Bhera Enclave,D,10,41,Guru Harkishan Nagar,"Rs. 1,27,680 Per Square Meter",127680,West
267,Bheram Puri,G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
268,Bhikaji Cama Palace,A,3,167,RK Puram,"Rs. 7,75,000 Per Square Meter",775000,South
269,Bhim Nagri,E,3,163,Safdarjang Enclave,"Rs. 70,070 Per Square Meter",70070,South
270,Bhogal,E,4,156,Bhogal,"Rs. 70,070 Per Square Meter",70070,Central
271,Bhola Nagar,D,4,158,Kotla Mubarakpur,"Rs. 1,27,680 Per Square Meter",127680,Central
272,Bhola Nath Nagar,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
273,Bhola Ram Enclave Village Pockam pur,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
274,Bhoomi Heen Camp,G,4,195,Govindpuri,Rs. 46200 Per Square Meter,46200,Central
275,Bhor Garh,H,7,1,Narela,"Rs. 23,280 Per Square Meter",23280,Narela
276,Bihari Colony,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
277,"Bihari Colony, Mustafabad",G,2,270,Tukh Mirpur,Rs. 46200 Per Square Meter,46200,Shahadra North
278,Bihari Park,G,3,181,Khanpur,Rs. 46200 Per Square Meter,46200,South
279,Bihari Puri Extn.,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
280,"Bihari Pur, Mustafabad",G,2,270,Tukh Mirpur,Rs. 46200 Per Square Meter,46200,Shahadra North
281,Bijwasan,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
282,Bindapur,G,10,127,Uttam Nagar,Rs. 46200 Per Square Meter,46200,West
283,Bindapur Village,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
284,Braham Puri,F,2,251,New Usmanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
285,Brijpuri,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
286,"Brijpuri, Sherpur",G,2,269,Khajoori Khas,Rs. 46200 Per Square Meter,46200,Shahadra North
287,Brij Vihar,E,8,60,Saraswati Vihar,"Rs. 70,070 Per Square Meter",70070,Rohini
288,Brij Vihar Pehlad pur Vihar Extn,G,8,26,Sahibabad Daulat Pur,Rs. 46200 Per Square Meter,46200,Rohini
289,British India Colony,G,2,247,Ram Nagar,Rs. 46200 Per Square Meter,46200,Shahadra North
290,Budhan Pur,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
291,Budhela Village,G,10,124,Vikas Nagar,Rs. 46200 Per Square Meter,46200,West
292,Budh Nagar(JJ Colony),G,12,151,Inderpuri,Rs. 46200 Per Square Meter,46200,Karol Bagh
293,Budhpur Bijapur,H,7,3,Alipur,"Rs. 23,280 Per Square Meter",23280,Narela
294,Budh Vihar,G,8,23,Budh Vihar,Rs. 46200 Per Square Meter,46200,Rohini
295,"Budh Vihar Colony, TajPur Pahari",G,4,203,Badarpur,Rs. 46200 Per Square Meter,46200,Central
296,"Budh Vihar, Mandoli",F,2,264,Harsh Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
297,Bulbuli Khan,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
298,Bulund Masjid (Shastri park),G,1,233,Dharam Pura,Rs. 46200 Per Square Meter,46200,Shahadra South
299,Bunker Colony,G,8,65,Nimri Colony,Rs. 46200 Per Square Meter,46200,Rohini
300,Burari,H,6,6,Mukund Pur,"Rs. 23,280 Per Square Meter",23280,Civil Line
301,Burari Extn. Colony,G,6,6,Mukund Pur,Rs. 46200 Per Square Meter,46200,Civil Line
302,Canal Colony Okhla,G,4,206,Okhla,Rs. 46200 Per Square Meter,46200,Central
303,Carriappa Marg,E,3,181,Khanpur,"Rs. 70,070 Per Square Meter",70070,South
304,CC Colony (Rajpura),D,6,70,Rana Pratap Bagh,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
305,Chaju Colony,F,2,260,Babar Pur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
306,Chaman Park,F,2,261,Jiwanpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
307,"Chanakaya Place, Uttam Nagar",F,9,120,Manohar Park,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
308,Chanchal Park Colony (Nangloi),G,10,122,Hastsal,Rs. 46200 Per Square Meter,46200,West
309,Chandan Garden,G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
310,Chandan Hola,H,3,176,Bhati,"Rs. 23,280 Per Square Meter",23280,South
311,Chandan Park,G,6,18,Libas Pur,Rs. 46200 Per Square Meter,46200,Civil Line
312,Chandan Vihar,G,10,43,Nangloi East,Rs. 46200 Per Square Meter,46200,West
313,"Chandan Vihar, Burari",G,6,8,Jharoda,Rs. 46200 Per Square Meter,46200,Civil Line
314,Chandar Nagar,D,10,117,Janak Puri West,"Rs. 1,27,680 Per Square Meter",127680,West
315,Chand Bagh,F,2,269,Khajoori Khas,"Rs. 56,640 Per Square Meter",56640,Shahadra North
316,Chander Lok,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
317,Chander Nagar Karawal Nagar,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
318,"Chander Vihar, Mandawali",G,1,218,Mandawali,Rs. 46200 Per Square Meter,46200,Shahadra South
319,"Chander Vihar, Nilothi",G,10,44,Quammruddin Nagar,Rs. 46200 Per Square Meter,46200,West
320,Chand Mohalla,F,1,236,Raghubar Pura,"Rs. 56,640 Per Square Meter",56640,Shahadra South
321,Chand Nagar,F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
322,Chandni Chowk,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
323,Chandni Mahal,E,5,84,Turkman Gate,"Rs. 70,070 Per Square Meter",70070,City
324,Chand Pur,H,7,27,Begumpur,"Rs. 23,280 Per Square Meter",23280,Narela
325,Chandra Lok,F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
326,Chandra Nagar,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
327,"Chandra Park, Dwarka",G,9,135,Kakrola,Rs. 46200 Per Square Meter,46200,Nazafgarh
328,"Chandra Park,Karala",G,7,29,Karala,Rs. 46200 Per Square Meter,46200,Narela
329,Chandra Shekhar Azad Colony,F,11,75,Kishan Ganj,"Rs. 56,640 Per Square Meter",56640,Sadar Paharganj
330,Chandrawal Village,G,11,69,Kamla Nagar,Rs. 46200 Per Square Meter,46200,Sadar Paharganj
331,Chandu Nagar Karawal Nagar,G,2,267,Nehru Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
332,Chandu Park,F,1,232,Anarkali,"Rs. 56,640 Per Square Meter",56640,Shahadra South
333,Chand Vihar,G,2,268,Mustafabad,Rs. 46200 Per Square Meter,46200,Shahadra North
334,Chatta Lal Miya,E,5,81,Minto Road,"Rs. 70,070 Per Square Meter",70070,City
335,Chattar Pur,H,3,174,Chhatarpur,"Rs. 23,280 Per Square Meter",23280,South
336,Chattar Pur Colony,F,3,174,Chhatarpur,"Rs. 56,640 Per Square Meter",56640,South
337,Chauhan Bangar,F,2,249,Chauhan Bangar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
338,Chaukhandi,G,10,107,Vishnu Garden,Rs. 46200 Per Square Meter,46200,West
339,Chaukhandi Extn,F,10,107,Vishnu Garden,"Rs. 56,640 Per Square Meter",56640,West
340,Chaukri Mubarkabad,G,12,74,Inder Lok Colony,Rs. 46200 Per Square Meter,46200,Karol Bagh
341,Chawla Park,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
342,Chchuna Lal Park,D,8,56,Shalimar Bagh South,"Rs. 1,27,680 Per Square Meter",127680,Rohini
343,Chhaju Ram Colony,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
344,Chhatta Bhawani Shankar,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
345,Chhawla,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
346,Chhippy Wada,E,5,79,Jama Masjid,"Rs. 70,070 Per Square Meter",70070,City
347,Chhota Chamarwara,E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
348,Chilla Janata Flats,G,1,212,New Ashok Nagar,Rs. 46200 Per Square Meter,46200,Shahadra South
349,Chilla Saroda Bangar,H,1,212,New Ashok Nagar,"Rs. 23,280 Per Square Meter",23280,Shahadra South
350,Chilla Saroda Khadar,H,1,212,New Ashok Nagar,"Rs. 23,280 Per Square Meter",23280,Shahadra South
351,Chirag Coop H.B. society,C,3,189,Greater Kailash II,"Rs. 1,59,840 Per Square Meter",159840,South
352,Chirag Enclave,B,4,192,Greater Kailash I,"Rs. 2,45,520 Per Square Meter",245520,Central
353,Chiragh Delhi Village,F,3,189,Greater Kailash II,"Rs. 56,640 Per Square Meter",56640,South
354,Chitla Gate Area,E,5,83,Bazar Sita Ram,"Rs. 70,070 Per Square Meter",70070,City
355,Chitrakoot,F,2,246,Ashok Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
356,Chitra Vihar,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
357,Chittaranjan Park,C,4,190,Chitranjan Park,"Rs. 1,59,840 Per Square Meter",159840,Central
358,Chowk Nai Basti,E,11,88,Qasabpura,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
359,Christian Colony,E,6,12,GTB Nagar,"Rs. 70,070 Per Square Meter",70070,Civil Line
360,Christian Colony Mehrauli,G,3,169,Lado Sarai,Rs. 46200 Per Square Meter,46200,South
361,Chuna Mandi,E,11,89,Paharganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
362,Citizens Enclave,E,8,51,Rohini East,"Rs. 70,070 Per Square Meter",70070,Rohini
363,Civil Lines,C,6,78,Majnu Ka Tilla,"Rs. 1,59,840 Per Square Meter",159840,Civil Line
364,Cottage Enclave,D,10,58,Paschim Vihar North,"Rs. 1,27,680 Per Square Meter",127680,West
365,"Dabar Enclave , Jaffarpur",G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
366,Dabri Extn,G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
367,Dabri Extn Village,G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
368,Dairy Colony,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
369,Dairy Mansha Ram,G,6,11,Mukherjee Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
370,Dakshinpuri,G,3,183,Madangir,Rs. 46200 Per Square Meter,46200,South
371,"Dakshinpuri Extn Block 19, South Enclave",G,3,180,Dakshin Puri Extn.,Rs. 46200 Per Square Meter,46200,South
372,Dalai Mohalla,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
373,Dallupura,H,1,214,Khichripur,"Rs. 23,280 Per Square Meter",23280,Shahadra South
374,Dalmia Vihar,D,9,141,Bijwasan,"Rs. 1,27,680 Per Square Meter",127680,Nazafgarh
375,Daryaganj,D,5,153,Daryaganj,"Rs. 1,27,680 Per Square Meter",127680,City
376,Darya Pur Kalan,H,7,28,Bawana,"Rs. 23,280 Per Square Meter",23280,Narela
377,Daryapur Khurd,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
378,Dasghera Village,H,12,150,Sat Nagar,"Rs. 23,280 Per Square Meter",23280,Karol Bagh
379,Dashrath Puri,G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
380,"Dashrath Puri,Palam Road",G,9,129,Dabri,Rs. 46200 Per Square Meter,46200,Nazafgarh
381,Data Ram Park near Dindarpur,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
382,Daulat Pur,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
383,Dawat Nagar,F,4,206,Okhla,"Rs. 56,640 Per Square Meter",56640,Central
384,Daya Basti,F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
385,Dayalpark Sagarpur,G,9,131,Sagarpur,Rs. 46200 Per Square Meter,46200,Nazafgarh
386,Dayalpur,G,2,266,Karawal Nagar East,Rs. 46200 Per Square Meter,46200,Shahadra North
387,Dayal Pur(Behari Pur Village),H,2,270,Tukh Mirpur,"Rs. 23,280 Per Square Meter",23280,Shahadra North
388,Dayalsar Colony,F,9,119,Milap Nagar,"Rs. 56,640 Per Square Meter",56640,Nazafgarh
389,Dayanand Block,F,1,223,Shakarpur,"Rs. 56,640 Per Square Meter",56640,Shahadra South
390,Dayanand Colony,D,4,160,Amar Colony,"Rs. 1,27,680 Per Square Meter",127680,Central
391,Dayanand Vihar,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
392,Deepak Vihar,G,10,122,Hastsal,Rs. 46200 Per Square Meter,46200,West
393,Deepali,D,8,60,Saraswati Vihar,"Rs. 1,27,680 Per Square Meter",127680,Rohini
394,Deep Colony Bawana,G,7,28,Bawana,Rs. 46200 Per Square Meter,46200,Narela
395,Deep Enclave,C,8,66,Sawan Park,"Rs. 1,59,840 Per Square Meter",159840,Rohini
396,"Deep Enclave, Hastsal",G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
397,Deep Vihar,G,8,26,Sahibabad Daulat Pur,Rs. 46200 Per Square Meter,46200,Rohini
398,Defence Colony,B,4,159,Adnisganj,"Rs. 2,45,520 Per Square Meter",245520,Central
399,Defence Enclave,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
400,"Defence Enclave, Mahipalpur",E,9,144,Mahipalpur,"Rs. 70,070 Per Square Meter",70070,Nazafgarh
401,Dehroti,G,2,271,Karawal Nagar West,Rs. 46200 Per Square Meter,46200,Shahadra North
402,Delhi Dayal Coop H. B Society,C,3,189,Greater Kailash II,"Rs. 1,59,840 Per Square Meter",159840,South
403,Deoli Colony,G,3,179,Tigri,Rs. 46200 Per Square Meter,46200,South
404,Deoli Village,H,3,179,Tigri,"Rs. 23,280 Per Square Meter",23280,South
405,Deorala,H,9,133,Chhawala,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
406,Dera,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
407,Derawal Nagar,D,6,72,Model Town,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
408,Devaram Park,F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
409,Devi Nagar,G,5,154,Nizamuddin,Rs. 46200 Per Square Meter,46200,City
410,Dev Kunj (Raj Nagar),G,9,145,Palam,Rs. 46200 Per Square Meter,46200,Nazafgarh
411,Dev Nagar,E,12,92,Dev Nagar,"Rs. 70,070 Per Square Meter",70070,Karol Bagh
412,Dhaka,G,6,12,GTB Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
413,Dhaka Johar near Dr. Mukherjee Nagar,G,6,12,GTB Nagar,Rs. 46200 Per Square Meter,46200,Civil Line
414,"Dhanka Colony, Nangloi Jat",G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
415,Dhansa,H,9,140,Khera,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
416,Dhansa Extn,G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
417,Dharam Kunj,E,8,52,Naharpur,"Rs. 70,070 Per Square Meter",70070,Rohini
418,"Dharam Pura, Chandni Chowk",E,5,80,Chandni Chowk,"Rs. 70,070 Per Square Meter",70070,City
419,"Dharam Pura Colony, Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
420,"Dharam Pura, Gandhi Nagar",F,1,234,Gandhi Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
421,"Dharam Vihar, Dwarka",G,9,136,Matiala,Rs. 46200 Per Square Meter,46200,Nazafgarh
422,Dharma Colony,G,9,32,Nilothi,Rs. 46200 Per Square Meter,46200,Nazafgarh
423,Dhirpur Village,G,6,13,Dhirpur,Rs. 46200 Per Square Meter,46200,Civil Line
424,Dhruv Enclave,G,8,25,Pooth Kalan,Rs. 46200 Per Square Meter,46200,Rohini
425,Dhul Siras Village,G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
426,Dichaon Enclave,G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
427,Dichaon Kalan,H,9,139,Dichaon Kalan,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
428,Dilkhush Bagh,D,6,71,Sangam Park,"Rs. 1,27,680 Per Square Meter",127680,Civil Line
429,Dilkhush Bagh Indl Area,E,6,71,Sangam Park,"Rs. 70,070 Per Square Meter",70070,Civil Line
430,Dilshad Colony,F,2,242,New Seema Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
431,"Dilshad Garden (82,83)",F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
432,Dindar Pur,H,9,134,Nangli Sakravati,"Rs. 23,280 Per Square Meter",23280,Nazafgarh
433,Dindarpur Extn. Najafgarh,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
434,DLF Industrial Area,E,10,97,Kirti Nagar,"Rs. 70,070 Per Square Meter",70070,West
435,Dori Walan,E,11,90,Model Basti,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
436,Dr. Ambedkar Colony Andheri Mor,G,3,174,Chhatarpur,Rs. 46200 Per Square Meter,46200,South
437,"Dr. Ambedkar Colony, Bijwasan",G,9,141,Bijwasan,Rs. 46200 Per Square Meter,46200,Nazafgarh
438,"Dr. Ambedkar Colony, Johripur",G,2,261,Jiwanpur,Rs. 46200 Per Square Meter,46200,Shahadra North
439,Dr. Ambedkar Nagar Haiderpur,G,8,54,Pitampura North,Rs. 46200 Per Square Meter,46200,Rohini
440,Dr Ambedkar Nagar (Madangir),G,3,183,Madangir,Rs. 46200 Per Square Meter,46200,South
441,Dr Bhimrao Ambedkar Colony,F,2,239,Vivek Vihar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
442,DR Lohia Industrial Area,F,8,62,Rampura,"Rs. 56,640 Per Square Meter",56640,Rohini
443,Duggal Colony,F,3,181,Khanpur,"Rs. 56,640 Per Square Meter",56640,South
444,Duragapuri,F,2,245,Durga Puri,"Rs. 56,640 Per Square Meter",56640,Shahadra North
445,"Durga Enclave, Jaffarpur Kalan",G,9,140,Khera,Rs. 46200 Per Square Meter,46200,Nazafgarh
446,Durga Mohalla,G,1,214,Khichripur,Rs. 46200 Per Square Meter,46200,Shahadra South
447,Durga Park Colony,G,1,214,Khichripur,Rs. 46200 Per Square Meter,46200,Shahadra South
448,"Durga Park colony, Dabri",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
449,"Durga Park ,Najafgarh",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
450,"Durga Park, Nasirpur",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
451,"Durga Puri, Dabri",G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
452,Durgapuri Extn,G,2,245,Durga Puri,Rs. 46200 Per Square Meter,46200,Shahadra North
453,"Durga Vihar, Deoli",G,3,179,Tigri,Rs. 46200 Per Square Meter,46200,South
454,"Durga Vihar, Dwarka",G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
455,"Durga Vihar, Najafgarh",G,9,137,Roshanpura,Rs. 46200 Per Square Meter,46200,Nazafgarh
456,Durga Vihar Tughlakabad,F,4,185,Tughlakabad Extn.,"Rs. 56,640 Per Square Meter",56640,Central
457,Dwarka,D,9,136,Matiala,"Rs. 1,27,680 Per Square Meter",127680,Nazafgarh
458,Dwarkapuri,F,2,247,Ram Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra North
459,East End Apartments,D,1,212,New Ashok Nagar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
460,East End Enclave,E,1,222,Laxmi Nagar,"Rs. 70,070 Per Square Meter",70070,Shahadra South
461,East Krishna Nagar,F,1,229,Krishna Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
462,East Moti Bagh (Karol Bagh),F,12,74,Inder Lok Colony,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
463,East Of Kailash,C,4,194,East of Kailash,"Rs. 1,59,840 Per Square Meter",159840,Central
464,East Old Seelampur,F,1,235,Azad Nagar,"Rs. 56,640 Per Square Meter",56640,Shahadra South
465,East Patel Nagar,C,12,95,East Patel Nagar,"Rs. 1,59,840 Per Square Meter",159840,Karol Bagh
466,East Uttam Nagar,G,10,128,Bindapur,Rs. 46200 Per Square Meter,46200,West
467,EIL Friends Society,G,9,130,Manglapuri,Rs. 46200 Per Square Meter,46200,Nazafgarh
468,Eklaviya Enclave,E,8,50,Rohini Central,"Rs. 70,070 Per Square Meter",70070,Rohini
469,Ekta Vihar,C,3,168,Nanak Pura,"Rs. 1,59,840 Per Square Meter",159840,South
470,"Ekta Vihar, Jaitpur",G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
471,"Ekta Vihar, Najafgarh",G,9,139,Dichaon Kalan,Rs. 46200 Per Square Meter,46200,Nazafgarh
472,"Electricity Colony, Punjabi Bagh",E,8,62,Rampura,"Rs. 70,070 Per Square Meter",70070,Rohini
473,"Electricity Colony, Shalimar Bagh",D,8,55,Shalimar Bagh North,"Rs. 1,27,680 Per Square Meter",127680,Rohini
474,Engineers Enclave,D,8,63,Kohat Enclave,"Rs. 1,27,680 Per Square Meter",127680,Rohini
475,Escort Area,C,4,193,Sriniwaspuri,"Rs. 1,59,840 Per Square Meter",159840,Central
476,Farash Khana,E,11,85,Idgah Road,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
477,Faridpuri,F,12,95,East Patel Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
478,Farsh Bazar,F,1,237,Shahdara,"Rs. 56,640 Per Square Meter",56640,Shahadra South
479,Fateh Nagar,F,10,109,Janakpuri North,"Rs. 56,640 Per Square Meter",56640,West
480,Fateh Nagar Village,G,10,109,Janakpuri North,Rs. 46200 Per Square Meter,46200,West
481,Fateh Pur Beri,H,3,176,Bhati,"Rs. 23,280 Per Square Meter",23280,South
482,Fatehpuri Bari Extn.,E,3,176,Bhati,"Rs. 70,070 Per Square Meter",70070,South
483,Fatehpur Jat,H,7,4,Bakhtawarpur,"Rs. 23,280 Per Square Meter",23280,Narela
484,Fathepuri,E,5,86,Ballimaran,"Rs. 70,070 Per Square Meter",70070,City
485,Firoz Shah Kotla Stadium,C,5,153,Daryaganj,"Rs. 1,59,840 Per Square Meter",159840,City
486,Freedom Fighter Vihar,F,3,173,Said-ul-Ajaib,"Rs. 56,640 Per Square Meter",56640,South
487,Friends Colony,A,4,193,Sriniwaspuri,"Rs. 7,75,000 Per Square Meter",775000,Central
488,Friends Colony East,A,4,193,Sriniwaspuri,"Rs. 7,75,000 Per Square Meter",775000,Central
489,Friends Colony Mundka,G,9,30,Mundaka,Rs. 46200 Per Square Meter,46200,Nazafgarh
490,Friends Colony West,A,4,193,Sriniwaspuri,"Rs. 7,75,000 Per Square Meter",775000,Central
491,"Friends Enclave, Nangloi",G,8,40,Sultanpuri South,Rs. 46200 Per Square Meter,46200,Rohini
492,Friends Enclave Part-2,F,12,92,Dev Nagar,"Rs. 56,640 Per Square Meter",56640,Karol Bagh
493,Friends Enclave SultanPur Road,G,8,40,Sultanpuri South,Rs. 46200 Per Square Meter,46200,Rohini
494,Fyaz Ganj,E,11,76,Deputy Ganj,"Rs. 70,070 Per Square Meter",70070,Sadar Paharganj
495,Gadaipur,H,3,175,Aya Nagar,"Rs. 23,280 Per Square Meter",23280,South
496,Gafoor Nagar,F,4,206,Okhla,"Rs. 56,640 Per Square Meter",56640,Central
497,Gagan Vihar,D,1,228,Preet Vihar,"Rs. 1,27,680 Per Square Meter",127680,Shahadra South
498,Gagan Vihar Badarpur,G,4,202,Meethapur,Rs. 46200 Per Square Meter,46200,Central
499,Gagan Vihar Extn,E,1,228,Preet Vihar,"Rs. 70,070 Per Square Meter",70070,Shahadra South
500,Gamini Park Nangli Sakrawati,G,9,134,Nangli Sakravati,Rs. 46200 Per Square Meter,46200,Nazafgarh
501,Gamri,F,2,253,Ganari,"Rs. 56,640 Per Square Meter",56640,Shahadra North
502,Gandhi Market Area,D,5,81,Minto Road,"Rs. 1,27,680 Per Square Meter",127680,City
503,Gandhi Nagar,E,1,234,Gandhi Nagar,"Rs. 70,070 Per Square Meter",70070,Shahadra South
504,Gandhi Nagar(Mandavali),F,1,223,Shakarpur,"Rs. 56,640 Per Square Meter",56640,Shahadra South
505,Gandhi Vihar,F,6,13,Dhirpur,"Rs. 56,640 Per Square Meter",56640,Civil Line
506,Ganesh Nagar,E,10,113,Mahabir Nagar,"Rs. 70,070 Per Square Meter",70070,West
507,Ganesh Nagar II,F,1,223,Shakarpur,"Rs. 56,640 Per Square Meter",56640,Shahadra South
508,Ganesh Park,F,1,231,Ghondli,"Rs. 56,640 Per Square Meter",56640,Shahadra South
509,Ganeshpura,F,8,61,Tri Nagar,"Rs. 56,640 Per Square Meter",56640,Rohini
510,Ganga Ram Park,G,10,121,Kanwar Singh Nagar,Rs. 46200 Per Square Meter,46200,West
511,Gangaram Vatika,E,10,106,Tagore Garden,"Rs. 70,070 Per Square Meter",70070,West
512,"Ganga Sahai Colony, Mandoli",G,2,264,Harsh Vihar,Rs. 46200 Per Square Meter,46200,Shahadra North
513,Ganga Vihar,F,2,262,Gokalpur,"Rs. 56,640 Per Square Meter",56640,Shahadra North
514,Garhi Extn,D,4,160,Amar Colony,"Rs. 1,27,680 Per Square Meter",127680,Central
515,Garhi Jharia Maria,F,4,160,Amar Colony,"Rs. 56,640 Per Square Meter",56640,Central
516,Garhi Khasru,H,6,7,Burari,"Rs. 23,280 Per Square Meter",23280,Civil Line
